iter,loss,tuned_hyperparams,proba_thr,run_time
1,0.4998530943419722,{'C': 0.37511381173223024},0.93,3.0
2,0.4998304463372615,{'C': 0.02557469342839024},0.9500000000000001,3.0
3,0.49985799630344974,{'C': 0.2644701224841311},0.71,3.0
4,0.41685701831500066,{'C': 0.2430529111866436},0.52,3.0
5,0.4886221114190391,{'C': 0.9554030314946723},0.31,3.0
6,0.49880944788972204,{'C': 0.028308926694626407},0.2,3.0
7,0.4998188159623137,{'C': 0.07203228983324612},0.02,3.0
8,0.4999553167357632,{'C': 0.010987203077139653},0.86,3.0
9,0.4997300621790246,{'C': 0.3959698534267613},0.78,3.0
10,0.4504252852222783,{'C': 0.011820737701457777},0.39,3.0
11,0.49386914270397,{'C': 0.13784899066102096},0.67,3.0
12,0.4983730083483703,{'C': 0.4855334565262713},0.25,3.0
13,0.4245701250806173,{'C': 0.09525259653085492},0.55,3.0
14,0.4999993872548153,{'C': 0.046569378795673036},0.13,3.0
15,0.4999528657550244,{'C': 0.0687748861985894},0.19,3.0
16,0.49987574234668297,{'C': 0.028529512804114896},0.9400000000000001,3.0
17,0.49993266873105235,{'C': 0.00925288122510523},0.87,3.0
18,0.49976250232312913,{'C': 0.8421341852840215},0.98,3.0
19,0.4205957301935892,{'C': 0.3162823713560639},0.54,3.0
20,0.4953828825484846,{'C': 0.09850847251627988},0.68,3.0
21,0.4162240996734681,{'C': 0.18689731971578974},0.52,3.0
22,0.4314474238472036,{'C': 0.18526487163287994},0.43,3.0
23,0.4099629397572031,{'C': 0.5930846895555257},0.48,3.0
24,0.432413345929489,{'C': 0.6204758694333884},0.42,3.0
25,0.4886956172740786,{'C': 0.1665363749989248},0.65,3.0
26,0.4801382772631425,{'C': 0.6441862639922386},0.34,3.0
27,0.41360563917877635,{'C': 0.1307982182534129},0.46,3.0
28,0.45482225039907387,{'C': 0.12432448604124095},0.59,3.0
29,0.4998188159623137,{'C': 0.04295318995721843},0.02,3.0
30,0.4872154841462317,{'C': 0.4567056504988737},0.32,3.0
31,0.42467748510711045,{'C': 0.020677239270445045},0.44,3.0
32,0.4999908206057909,{'C': 0.27052127924157293},0.76,3.0
33,0.4091053793041166,{'C': 0.050445022900141766},0.48,3.0
34,0.5001126272783692,{'C': 0.01760417404189379},0.11,3.0
35,0.46213814509871964,{'C': 0.04168363589153849},0.6,3.0
36,0.4940105100882132,{'C': 0.015447421110074216},0.28,3.0
37,0.4635574750505479,{'C': 0.007079537532756233},0.37,3.0
38,0.4094206131345137,{'C': 0.06121576681140079},0.48,3.0
39,0.4615284872070825,{'C': 0.03461894944155866},0.6,3.0
40,0.49806817940255177,{'C': 0.056597428964302386},0.25,3.0
41,0.5007730958860901,{'C': 0.0747363036582262},0.72,3.0
42,0.4992318060753874,{'C': 0.021159439602904746},0.81,3.0
43,0.5001579232877909,{'C': 0.05662625290681058},0.08,3.0
44,0.4990585759415407,{'C': 0.033641616216250426},0.2,3.0
45,0.4569840389777582,{'C': 0.09779944127672795},0.38,3.0
46,0.4130687094271366,{'C': 0.013793390550788017},0.51,3.0
47,0.49961620941028595,{'C': 0.05880800692012413},0.84,3.0
48,0.48101183979239825,{'C': 0.007406585242777327},0.64,3.0
49,0.5001291596147944,{'C': 0.028145102533293474},0.71,3.0
50,0.5000116303749477,{'C': 0.009886313368514683},0.89,3.0
51,0.425340157240784,{'C': 0.08625889287791952},0.55,3.0
52,0.4994191057813592,{'C': 0.02382384311754927},0.22,3.0
53,0.5000104048845784,{'C': 0.21918496895266942},0.14,3.0
54,0.4744732123595229,{'C': 0.11285963232022228},0.35000000000000003,3.0
55,0.4915590108727862,{'C': 0.1564320842442225},0.3,3.0
56,0.4429685533986454,{'C': 0.340406692377458},0.41000000000000003,3.0
57,0.4113089877416555,{'C': 0.03478433026655106},0.47000000000000003,3.0
58,0.4428041609357317,{'C': 0.06524955471571817},0.5700000000000001,3.0
59,0.48060785217871216,{'C': 0.047532433779221506},0.63,3.0
60,0.4995494908865231,{'C': 0.012340214779976186},0.76,3.0
61,0.4128251078655413,{'C': 0.07905368190717998},0.5,3.0
62,0.5002258673019232,{'C': 0.2580303520523331},0.07,3.0
63,0.5000055147066621,{'C': 0.21723234188412435},0.71,3.0
64,0.499184059085227,{'C': 0.8691168376945534},0.17,3.0
65,0.4966493325767344,{'C': 0.11363434023455783},0.68,3.0
66,0.41030327257304944,{'C': 0.04733247709215298},0.48,3.0
67,0.44530192241260214,{'C': 0.6475536380237862},0.4,3.0
68,0.47363707442077785,{'C': 0.08856553812783702},0.35000000000000003,3.0
69,0.4141277687774938,{'C': 0.14451256411585098},0.46,3.0
70,0.49600537273831624,{'C': 0.44553325871910204},0.26,3.0
71,0.4317238072761794,{'C': 0.017081699438323383},0.56,3.0
72,0.4258790548471514,{'C': 0.04018897734724921},0.44,3.0
73,0.4135510223724108,{'C': 0.06523829195862187},0.52,3.0
74,0.45451803419844006,{'C': 0.3016554741538886},0.59,3.0
75,0.4789796468202744,{'C': 0.5452388006272594},0.63,3.0
76,0.49976250232312913,{'C': 0.024565652046107746},0.99,3.0
77,0.4905184281464594,{'C': 0.18304718558867414},0.3,3.0
78,0.4110494076710136,{'C': 0.03132664717120264},0.49,3.0
79,0.4160098391793702,{'C': 0.11198447225596436},0.53,3.0
80,0.4881195660991091,{'C': 0.9850156453448223},0.32,3.0
81,0.4612247305653371,{'C': 0.02062050811677858},0.37,3.0
82,0.49834179369463527,{'C': 0.05168540491413153},0.24,3.0
83,0.4966377022017867,{'C': 0.38004159848321245},0.68,3.0
84,0.4272587684660778,{'C': 0.038655276496166034},0.43,3.0
85,0.49523166410704156,{'C': 0.02840395072034162},0.28,3.0
86,0.44882973211204735,{'C': 0.2281681084410994},0.58,3.0
87,0.4999118589618956,{'C': 0.07461126792088586},0.75,3.0
88,0.49929975008951977,{'C': 0.00788519518694002},0.81,3.0
89,0.491611082429923,{'C': 0.12989300682587523},0.66,3.0
90,0.47113794605080306,{'C': 0.10241622748121985},0.62,3.0
91,0.4996933328186274,{'C': 0.05363351822167856},0.16,3.0
92,0.4203241544576011,{'C': 0.06403296662466164},0.45,3.0
93,0.4999436863608153,{'C': 0.03679487274479192},0.92,3.0
94,0.44831533252950595,{'C': 0.7383976560400485},0.4,3.0
95,0.41998423406639807,{'C': 0.15864236253386468},0.54,3.0
96,0.46319831210383366,{'C': 0.02216887995868791},0.61,3.0
97,0.499554993809624,{'C': 0.19240919932693334},0.22,3.0
98,0.48164712692974077,{'C': 0.2977773263776055},0.34,3.0
99,0.4359127690298976,{'C': 0.018699979392530354},0.42,3.0
100,0.49931138046446744,{'C': 0.031753655985792564},0.79,3.0
